source,column_name,column_value,value_count
Vaccines,Developer,"FBRI SRC VB VECTOR, Rospotrebnadzor, Koltsovo",6
Vaccines,Developer,"National Research Centre, Egypt",4
Vaccines,Developer,Max-Planck-institute of Colloids and Interfaces,2
Vaccines,Developer,"Research Institute for Biological Safety Problems, Rep of Kazakhstan",2
Vaccines,Developer,University of Manitoba,2
Vaccines,Developer,Intravacc/Epivax,2
Vaccines,Developer,Cadila Healthcare Limited,2
Vaccines,Developer,Fudan University/ Shanghai JiaoTong University/RNACure Biopharma,2
Vaccines,Developer,"Centro Nacional Biotecnologia (CNB-CSIC), Spain",2
Vaccines,Developer,Erciyes University,2
Vaccines,Developer,Selcuk University,2
Vaccines,Developer,Farmacologicos Veterinarios SAC (FARVET SAC) / Universidad Peruana Cayetano Heredia (UPCH),2
Vaccines,Developer,"IDIBAPS-Hospital Clinic, Spain",2
Vaccines,Developer,"Instituto Finlay de Vacunas, Cuba",1
Vaccines,Developer,Biological E Ltd,1
Vaccines,Developer,Chula Vaccine Research Center/University of Pennsylvania,1
Vaccines,Developer,OncoGen,1
Vaccines,Developer,DZIF German Center for Infection Research/CanVirex AG,1
Vaccines,Developer,IMV Inc,1
Vaccines,Developer,BiOCAD and IEM,1
Vaccines,Developer,Valo Therapeutics Ltd,1
Vaccines,Developer,"University of San Martin and CONICET, Argentina",1
Vaccines,Developer,Inovio Pharmaceuticals/ International Vaccine Institute,1
Vaccines,Developer,Izmir Biomedicine and Genome Center,1
Vaccines,Developer,"National Center for Genetic Engineering and Biotechnology (BIOTEC) /GPO, Thailand",1
Vaccines,Developer,Saint-Petersburg scientific research institute of vaccines and serums,1
Vaccines,Developer,OSIVAX,1
Vaccines,Developer,Vabiotech,1
Vaccines,Developer,Moderna/NIAID,1
Vaccines,Developer,Gennova,1
Vaccines,Developer,Altimmune,1
Vaccines,Developer,Axon Neuroscience SE,1
Vaccines,Developer,Neovii/Tel Aviv University,1
Vaccines,Developer,CanSino Biological Inc./Beijing Institute of Biotechnology,1
Vaccines,Developer,AJ Vaccines,1
Vaccines,Developer,Mehmet Ali Aydinlar University / Acibadem Labmed Health Services A.S.,1
Vaccines,Developer,University of Hong Kong,1
Vaccines,Developer,Baiya Phytopharm/ Chula Vaccine Research Center,1
Vaccines,Developer,Mynvax,1
Vaccines,Developer,Doherty Institute,1
Vaccines,Developer,KM Biologics,1
Vaccines,Developer,VBI Vaccines Inc.,1
Vaccines,Developer,DIOSynVax Ltd / University of Cambridge,1
Vaccines,Developer,BIOCAD,1
Vaccines,Developer,Ankara University,1
Vaccines,Developer,Sanofi Pasteur/GSK,1
Vaccines,Developer,Greffex,1
Vaccines,Developer,Imophoron Ltd and Bristol University's Max Planck Centre,1
Vaccines,Developer,Valneva/Dynavax,1
Vaccines,Developer,Univ. of Sao Paulo,1
Vaccines,Developer,"Anhui Zhifei Longcom Biopharmaceutical/Institute of Microbiology, Chinese Academy of Sciences",1
Vaccines,Developer,People's Liberation Army (PLA) Academy of Military Sciences/Walvax Biotech.,1
Vaccines,Developer,Innovax/Xiamen Univ./GSK,1
Vaccines,Developer,Bharat Biotech/Thomas Jefferson University,1
Vaccines,Developer,University of Georgia/University of lowa,1
Vaccines,Developer,Janssen Pharmaceutical Companies,1
Vaccines,Developer,"Helix Biogen Consult, Ogbomoso & Trinity Immonoefficient Laboratory, Ogbomoso, Oyo State, Nigeria.",1
Vaccines,Developer,"VIDO-InterVac, University of Saskatchewan",1
Vaccines,Developer,GeoVax/BravoVax,1
Vaccines,Developer,Codagenix/Serum Institute of India,1
Vaccines,Developer,Tonix Pharma/Southern Research,1
Vaccines,Developer,Medicago Inc.,1
Vaccines,Developer,Stabilitech Biopharma Ltd,1
Vaccines,Developer,BiOMVis Sri/Univ. of Trento,1
Vaccines,Developer,Clover Biopharmaceuticals Inc./GSK/Dynavax,1
Vaccines,Developer,Sinovac,1
Vaccines,Developer,Massachusetts Eye and Ear/Massachusetts General Hospital/AveXis,1
Vaccines,Developer,"National Institute of Infectious Disease, Japan/Shionogi/UMN Pharma",1
Vaccines,Developer,Medigen Vaccine Biologics Corporation/NIAID/Dynavax,1
Vaccines,Developer,iBio/cc-Pharming,1
Vaccines,Developer,UW-Madison/FluGen/Bharat Biotech,1
Vaccines,Developer,Karolinska Institute / Cobra Biologics (OPENCORONA Project),1
Vaccines,Developer,"Kentucky Bioprocessing, Inc",1
Vaccines,Developer,"Osaka University/ BIKEN/ National Institutes of Biomedical Innovation, Japan",1
Vaccines,Developer,Sinovac/Dynavax,1
Vaccines,Developer,Bezmialem Vakif University,1
Vaccines,Developer,Vaxart,1
Vaccines,Developer,Greenlight Biosciences,1
Vaccines,Developer,Flow Pharma Inc,1
Vaccines,Developer,EpiVax,1
Vaccines,Developer,University of Oxford/AstraZeneca,1
Vaccines,Developer,"LakePharma, Inc.",1
Vaccines,Developer,KU Leuven,1
Vaccines,Developer,University of Virginia,1
Vaccines,Developer,WRAIR/USAMRIID,1
Vaccines,Developer,"Navarrabiomed, Oncoimmunology group",1
Vaccines,Developer,DZIF German Center for Infection Research/IDT Biologika GmbH,1
Vaccines,Developer,"Institute of Medical Biology, Chinese Academy of Medical Sciences",1
Vaccines,Developer,Osaka University/ BIKEN/ National Institutes of Biomedical Innovation,1
Vaccines,Developer,Chula Vaccine Research Center,1
Vaccines,Developer,Mediphage Bioceuticals/University of Waterloo,1
Vaccines,Developer,Fundacao Oswaldo Cruz and Instituto Buntantan,1
Vaccines,Developer,IrsiCaixa AIDS Research/IRTA-CReSA/Barcelona Supercomputing Centre/Grifols,1
Vaccines,Developer,Mahidol University/ The Government Pharmaceutical Organization (GPO)/Siriraj Hospital,1
Vaccines,Developer,Vaxine Pty Ltd/Medytox,1
