column_value,column_name,value_count
"FBRI SRC VB VECTOR, Rospotrebnadzor, Koltsovo",Developer,6
"National Research Centre, Egypt",Developer,4
"Centro Nacional Biotecnologia (CNB-CSIC), Spain",Developer,2
Intravacc/Epivax,Developer,2
Max-Planck-institute of Colloids and Interfaces,Developer,2
"Research Institute for Biological Safety Problems, Rep of Kazakhstan",Developer,2
Farmacologicos Veterinarios SAC (FARVET SAC) / Universidad Peruana Cayetano Heredia (UPCH),Developer,2
Fudan University/ y/Shangha iaoTong University/RNACure Biopharma,Developer,2
Erciyes University,Developer,2
"IDIBAPS-Hospita Clinic, Spain",Developer,2
University of Manitoba,Developer,2
Selcuk University,Developer,2
Cadila Healthcare Limited,Developer,2
Greffex,Developer,1
University of Hong Kong,Developer,1
AnyGo Technology,Developer,1
"West China Hospital, Sichuan University",Developer,1
Heat Biologics/Univ. Of Miami,Developer,1
Israel Institute for Biologica Research/Weizmann Institute of Science,Developer,1
Fundacao Oswaldo Cruz and Instituto Buntantan,Developer,1
DIOSynVax Ltd / University of Cambridge,Developer,1
Baiya Phytopharm/ Chula Vaccine Research Center,Developer,1
"Instituto Finlay de Vacunas, Cuba",Developer,1
Institute Pasteur/Themis/Univ. of Pittsburg CVR/Merck Sharp & Dohme,Developer,1
Entos Pharmaceuticals,Developer,1
Medigen Vaccine Biologics Corporation/NIAID/Dynavax,Developer,1
"MOGAM Institute for Biomedical Research, GC Pharma",Developer,1
Osaka University/ AnGes/ /Takara Bio,Developer,1
MIGAL Galilee Research Institute,Developer,1
"Beijing Minhai Biotechnology Co., Ltd.",Developer,1
Arcturus/Duke-NUS,Developer,1
iBio/cc-Pharming,Developer,1
AdaptVac (PREVENT-nCoV consortium),Developer,1
Clover Biopharmaceuticals Inc./GSK/Dynavax,Developer,1
"Institute of Medical Biology, Chinese Academy of Medical Sciences",Developer,1
Ankara University,Developer,1
IMV Inc,Developer,1
Chula Vaccine Research Center,Developer,1
BiOMVis Sri/Univ. of Trento,Developer,1
Bharat Biotech/Thomas Jefferson University,Developer,1
University of Alberta,Developer,1
Osaka University/ BIKEN/ National Institutes of Biomedical Innovation,Developer,1
Intravacc/Wageningen Bioveterinary Research/Utrecht Univ.,Developer,1
Aurobindo,Developer,1
OSIVAX,Developer,1
"Helix Biogen Consult, Ogbomoso & Trinity Immonoefficient Laboratory, Ogbomoso, Oyo State, Nigeria.",Developer,1
DZIF German Center for Infection Research/IDT Biologika GmbH,Developer,1
Beijing Institute of Biological Products/Sinopharm,Developer,1
BioNet Asia,Developer,1
Bogazici University,Developer,1
ExpreS2ion,Developer,1
"Immunomic Therapeutics, Inc./EpiVax, Inc./PharmaJet",Developer,1
Neo7Logic,Developer,1
DZIF German Center for Infection Research/CanVirex AG,Developer,1
Greenlight Biosciences,Developer,1
"ImmunityBio, Inc. & Nantkwest, Inc.",Developer,1
"Kazakh National Agrarian University, Kazakhstan / National Scientific Center for Especially Dangerous Infections",Developer,1
BIOCAD,Developer,1
Scancell/University of Nottingham/Nottingh Trent University,Developer,1
Translate Bio/Sanofi Pasteur,Developer,1
IrsiCaixa AIDS Research/IRTA-CReSA/Barcelona Supercomputing Centre/Grifols,Developer,1
Genexine Consortium,Developer,1
University of Tokyo/ Daiichi-Sankyo,Developer,1
Mediphage Bioceuticals/Universit of Waterloo,Developer,1
University of Western Ontario,Developer,1
Mehmet Ali Aydinlar University / Acibadem Labmed Health Services A.S.,Developer,1
ARTES Biotechnology,Developer,1
Bharat Biotech,Developer,1
Doherty Institute,Developer,1
"Anhui Zhifei Longcom Biopharmaceutical/institute of Microbiology, Chinese Academy of Sciences",Developer,1
Gennova,Developer,1
Massachusetts Eye and Ear/Massachusetts General Hospital/AveXis,Developer,1
Saint-Petersburg scientific research institute of vaccines and serums,Developer,1
OSE immunotherapeutics,Developer,1
EpiVax,Developer,1
Inovio Pharmaceuticals/ International Vaccine Institute,Developer,1
Valo Therapeutics Ltd,Developer,1
Symvivo,Developer,1
University of Queensland/CSL/Seqirus,Developer,1
Univ. of Pittsburgh,Developer,1
Vaxine Pty Ltd/Medytox,Developer,1
Generex/EpiVax,Developer,1
ReiThera/LEUKOCARE/Univercells,Developer,1
Gamaleya Research Institute,Developer,1
Flow Pharma Inc,Developer,1
UW-Madison/FluGen/Bharat Biotech,Developer,1
Altimmune,Developer,1
Tonix Pharma/Southern Research,Developer,1
Axon Neuroscience SE,Developer,1
Biologica E Ltd,Developer,1
Mahidol University/ The Government Pharmaceutical Organization (GPO)/Siriraj Hospital,Developer,1
Baylor College of Medicine,Developer,1
Stabilitech Biopharma Ltd,Developer,1
University of Georgia/University of lowa,Developer,1
Quadram Institute Biosciences,Developer,1
Codagenix/Serum Institute of India,Developer,1
"RNAimmune, Inc.",Developer,1
"Navarrabiomed, Oncoimmunology group",Developer,1
Innovax/Xiamen Univ./GSK,Developer,1
AJ Vaccines,Developer,1
CanSino Biological Inc./Beijing Institute of Biotechnology,Developer,1
VBI Vaccines Inc.,Developer,1
"VIDO-InterVac, University of Saskatchewan",Developer,1
Izmir Biomedicine and Genome Center,Developer,1
Janssen Pharmaceutical Companies,Developer,1
Imperial College London,Developer,1
"University of San Martin and CONICET, Argentina",Developer,1
University of Oxford/AstraZeneca,Developer,1
"National Center for Genetic Engineering and Biotechnology (BIOTEC) /GPO, Thailand",Developer,1
Imophoron Ltd and Bristol University's Max Planck Centre,Developer,1
Neovii/Tel Aviv University,Developer,1
CanSino Biologics/Precision NanoSystems,Developer,1
eTheRNA,Developer,1
EpiVax/Univ. of Georgia,Developer,1
"National Institute of Infectious Disease, Japan/Shionogi/UMN Pharma",Developer,1
Wuhan Institute of Biological Products/Sinopharm,Developer,1
Moderna/NIAID,Developer,1
University of Virginia,Developer,1
Takis/Applied DNA Sciences/Evvivax,Developer,1
"Chulalongkorn University/GPO, Thailand",Developer,1
China CDC/Tongji University/Stermina,Developer,1
KU Leuven,Developer,1
GeoVax/BravoVax,Developer,1
Mynvax,Developer,1
Medicago Inc.,Developer,1
Yisheng Biopharma,Developer,1
BiOCAD and IEM,Developer,1
"Osaka University/ BIKEN/ National Institutes of Biomedical Innovation, Japan",Developer,1
Indian Immunologicals Ltd/Griffith University,Developer,1
Univ. of Sao Paulo,Developer,1
Chula Vaccine Research Center/University of Pennsylvania,Developer,1
Vaxil Bio,Developer,1
Novavax,Developer,1
Valneva/Dynavax,Developer,1
ID Pharma,Developer,1
People's Liberation Army (PLA) Academy of Military Sciences/Walvax Biotech.,Developer,1
WRAIR/USAMRIID,Developer,1
Curevac,Developer,1
Middle East Technical University,Developer,1
IAVI/Merck,Developer,1
"The Lancaster University, UK",Developer,1
Karolinska Institute / Cobra Biologics (OPENCORONA Project),Developer,1
KM Biologics,Developer,1
Sinovac/Dynavax,Developer,1
ImmunoPrecise/LiteVax BV,Developer,1
OncoGen,Developer,1
"Kentucky Bioprocessing, Inc",Developer,1
Vabiotech,Developer,1
Saiba GmbH,Developer,1
Sanofi Pasteur/GSK,Developer,1
"LakePharma, Inc.",Developer,1
BioNTech/Fosun Pharma/Pfizer,Developer,1
Bezmialem Vakif University,Developer,1
Vaxart,Developer,1
Lomonosov Moscow State University,Developer,1
Ege University,Developer,1
Sinovac,Developer,1
"Applied Biotechnology Institute, Inc.",Developer,1
Protein Subunit,Platform,63
Non-Replicating Viral Vector,Platform,23
RNA,Platform,23
Replicating Viral Vector,Platform,19
DNA,Platform,16
Inactivated,Platform,15
VLP,Platform,14
Live Attenuated Virus,Platform,3
T-cell based,Platform,1
Replicating Bacteria Vector,Platform,1
Inactivated,Candidate Type,9
mRNA,Candidate Type,8
VLP,Candidate Type,3
Protein Subunit,Candidate Type,3
LNP-mRNA,Candidate Type,3
VSV-S,Candidate Type,3
Peptide,Candidate Type,3
Codon deoptimized live attenuated vaccines,Candidate Type,3
DNA vaccine,Candidate Type,3
S protein,Candidate Type,2
Inactivated + CpG 1018,Candidate Type,2
Recombinant S protein,Candidate Type,2
DNA with electroporation,Candidate Type,2
OMV-based vaccine,Candidate Type,2
Measles Vector,Candidate Type,2
LNP-encapsulated mRNA,Candidate Type,2
RBD-based,Candidate Type,2
Ad5 S (GREVAXTM platform),Candidate Type,1
MVA-S encoded,Candidate Type,1
Enveloped Virus-Like Particle (eV/LP),Candidate Type,1
Recombinant S protein in IC-BEVS,Candidate Type,1
Recombinant spike protein with Essai O/W 1849101 adjuvant,Candidate Type,1
Attenuated Influenza expressing an antigenic portion of the Spike protein,Candidate Type,1
parainfluenza virus 5 (PIV5)-based vaccine expressing the spike protein,Candidate Type,1
Horsepox vector expressing S protein,Candidate Type,1
Measles-vector based,Candidate Type,1
Spike-based (epitope screening),Candidate Type,1
Molecular clamp stabilized Spike protein with MF59 adjuvant,Candidate Type,1
DNA,Candidate Type,1
Newcastle disease virus vector (NDV-SARS- CoV-2/Spike),Candidate Type,1
Peptide antigens formulated in LNP,Candidate Type,1
COVID-19 XWG-03 truncated S (spike) proteins,Candidate Type,1
Adjuvanted recombinant protein (RBD-Dimer),Candidate Type,1
Inactivated Flu-based SARS-CoV2 vaccine + Adjuvant,Candidate Type,1
eVLP,Candidate Type,1
Sendai virus vector,Candidate Type,1
3 LNP-mRNAs,Candidate Type,1
Peptides,Candidate Type,1
Adenovirus-based,Candidate Type,1
Nanoparticle vaccine,Candidate Type,1
Spike-based,Candidate Type,1
"Measles Virus (S, N targets)",Candidate Type,1
Full length recombinant SARS CoV-2 glycoprotein nanoparticle vaccine adjuvanted with Matrix M,Candidate Type,1
Adeno5-based,Candidate Type,1
TBD,Candidate Type,1
Self-amplifying RNA,Candidate Type,1
DNA plasmid vaccine,Candidate Type,1
Oral Ad5 S,Candidate Type,1
Outer Membrane Vesicle (OMV)-subunit,Candidate Type,1
Several mRNA candidates,Candidate Type,1
RBD + Adjuvant,Candidate Type,1
"Virus-like particle, based on RBD displayed on virus-like particles",Candidate Type,1
MVA-S,Candidate Type,1
Protein Subunit EPV-CoV-19,Candidate Type,1
S-2P protein + CpG 1018,Candidate Type,1
adenovirus-based NasoVAx expressing SARS2-CoV spike protein,Candidate Type,1
li-Key peptide,Candidate Type,1
Adjuvanted microsphere peptide,Candidate Type,1
RBD-protein,Candidate Type,1
microneedle arrays S1 subunit,Candidate Type,1
Replicating Defective SARS-CoV-2 derived RNAs,Candidate Type,1
LNP-encapsulated mRNA cocktail encoding VLP,Candidate Type,1
bacTRL-Spike,Candidate Type,1
Recombinant S1-Fc fusion protein,Candidate Type,1
MVA expressing structural proteins,Candidate Type,1
Liposome-encapsulated mRNA,Candidate Type,1
S protein +Adjuvant,Candidate Type,1
LNP-nCOVsaRNA,Candidate Type,1
RBD protein fused with Fc of IgG + Adj.,Candidate Type,1
ChAdOx1-S,Candidate Type,1
Adjuvanted protein subunit (RBD),Candidate Type,1
Synthetic Long Peptide Vaccine candidate for S and M proteins,Candidate Type,1
Inactivated + alum,Candidate Type,1
s protein,Candidate Type,1
Replicating VSV vector-based DC-targeting,Candidate Type,1
Whole-Virion Inactivated,Candidate Type,1
Ora Vaccine platform,Candidate Type,1
gp-96 backbone,Candidate Type,1
"Recombinant vaccine based on Influenza A virus, for the prevention of COVID-19 (intranasal)",Candidate Type,1
Subunit vaccine,Candidate Type,1
Adeno-based (rAd26-S+rAd5-S),Candidate Type,1
"Virus-like particles, lentivirus and baculovirus vehicles",Candidate Type,1
Recombinant deactivated rabies virus containing S1,Candidate Type,1
RBD (baculovirus production expressed in Sf9 cells),Candidate Type,1
"Subunit protein, plant produced",Candidate Type,1
Influenza A H1N1 vector,Candidate Type,1
S1 or RBD protein,Candidate Type,1
Unknown,Candidate Type,1
Capsid-like Particle,Candidate Type,1
structurally modified spherical particles of the tobacco mosaic virus (TMV),Candidate Type,1
Peptides derived from Spike protein,Candidate Type,1
Inactivated whole virus,Candidate Type,1
M2-deficient single replication (M2SR) influenza vector,Candidate Type,1
"Protein Subunit S,N,M&S1 protein",Candidate Type,1
YF17D Vector,Candidate Type,1
Recombinant spike protein with AdvaxM adjuvant,Candidate Type,1
"Orally delivered, heat stable subunit",Candidate Type,1
VLP-recombinant protein + Adjuvant,Candidate Type,1
S protein integrated in HIV VLPS,Candidate Type,1
Outer Membrane Vesicle(OMV)-peptide,Candidate Type,1
Replication-competent VSV chimeric virus technology (VSVAG) delivering the SARS-CoV- 2 Spike (S) glycoprotein.,Candidate Type,1
Replication defective Simian Adenovirus (GRAd) encoding S,Candidate Type,1
"DNA plasmid vaccine S,S1,S2,RB[ &N",Candidate Type,1
Plant-based subunit (RBD-Fc Adjuvant),Candidate Type,1
DNA plasmid vaccine with electroporation,Candidate Type,1
RBD protein (baculovirus production) -+ FAR- Squalene adjuvant,Candidate Type,1
Adenovirus Type 5 Vector,Candidate Type,1
Native like Trimeric subunit Spike Protein vaccine,Candidate Type,1
Drosophila S2 insect cel expression system VLPS,Candidate Type,1
VSV vector,Candidate Type,1
VLP + Adjuvant,Candidate Type,1
Oral E. coli-based protein expression system of s and N proteins,Candidate Type,1
Live viral vectored vaccine based on attenuated influenza virus backbone (intranasal),Candidate Type,1
MVA encoded VLP,Candidate Type,1
Plant-derived VLP adjuvanted with GSK or Dynavax adjs.,Candidate Type,1
DNA plasmid vaccine RBD&N,Candidate Type,1
"DNA, engineered vaccine inserts compatible with multiple delivery systems",Candidate Type,1
