,clinical_stage,column_name,column_value,value_count
0, Clinical,Candidate Type,"2nd Gen E2b- Ad5 Spike, RBD, Nucleocapsid Subcutaneous&oral",1
1, Clinical,Candidate Type,3 LNP-mRNAs,1
2, Clinical,Candidate Type,ADDomerTM multiepitope display,1
3, Clinical,Candidate Type,Ad26COVS1,1
4, Clinical,Candidate Type,Ad5 S (GREVAXTM platform),1
5, Clinical,Candidate Type,Adeno-associated virus vector (AAVCOVID),1
6, Clinical,Candidate Type,Adeno-based (rAd26-S+rAd5-S),1
7, Clinical,Candidate Type,Adeno5-based,1
8, Clinical,Candidate Type,Adenovirus Type 5 Vector,1
9, Clinical,Candidate Type,Adenovirus-based,1
10, Clinical,Candidate Type,Adjuvanted microsphere peptide,1
11, Clinical,Candidate Type,Adjuvanted protein subunit (RBD),1
12, Clinical,Candidate Type,Adjuvanted recombinant protein (RBD-Dimer),1
13, Clinical,Candidate Type,Attenuated Influenza expressing an antigenic portion of the Spike protein,1
14, Clinical,Candidate Type,Avian paramyxovirus vector (APMV),1
15, Clinical,Candidate Type,"CD8 T cell peptide targeting (S, M, N) and (NSPs) SARS-CoV-2 proteins",1
16, Clinical,Candidate Type,COVID-19 XWG-03 truncated S (spike) proteins,1
17, Clinical,Candidate Type,Capsid-like Particle,1
18, Clinical,Candidate Type,ChAdOx1-S,1
19, Clinical,Candidate Type,Codon deoptimized live attenuated vaccines,3
20, Clinical,Candidate Type,DNA,1
21, Clinical,Candidate Type,DNA Vaccine (GX-19),1
22, Clinical,Candidate Type,DNA plasmid vaccine,1
23, Clinical,Candidate Type,DNA plasmid vaccine + Adjuvant,1
24, Clinical,Candidate Type,DNA plasmid vaccine RBD&N,1
25, Clinical,Candidate Type,"DNA plasmid vaccine S,S1,S2,RB[ &N",1
26, Clinical,Candidate Type,DNA plasmid vaccine with electroporation,1
27, Clinical,Candidate Type,DNA vaccine,3
28, Clinical,Candidate Type,DNA with electroporation,2
29, Clinical,Candidate Type,"DNA, engineered vaccine inserts compatible with multiple delivery systems",1
