"Clover Biopharmaceuticals Inc./GSK/Dynavax ","Protein Subunit ","Native like Trimeric subunit Spike Protein vaccine ","2 ","O, 21 days ","IM ","NCT04405908 ","","","",
"Vaxine Pty Ltd/Medytox ","Protein Subunit ","Recombinant spike protein with AdvaxTM adjuvant ","1 ","","IM ","NCT04453852 ","","","",
"University of Queensland/CSL/Seqirus ","Protein Subunit ","Molecular clamp stabilized Spike protein with MF59 adjuvant ","2 ","0, 28 days ","IM ","ACTRN12620000674932p ISRCTN51232965 ","","","",
"Medigen Vaccine Biologics Corporation/NIAID/Dynavax ","Protein Subunit ","S-2P protein + CpG 1018 ","2 ","O, 28 days ","IM ","NCTO4487210 ","","","",
"Instituto Finlay de Vacunas, Cuba ","Protein Subunit ","RBD + Adjuvant ","2 ","O, 28 days ","IM ","IFV/COR/04 ","","","",
"FBRI SRC VB VECTOR, Rospotrebnadzor, Koltsovo ","Protein Subunit ","Peptide ","2 ","O, 21 days ","IM ","NCT04527575 ","","","",
"West China Hospital, Sichuan University ","Protein Subunit ","RBD (baculovirus production expressed in Sf9 cells) ","2 ","0, 28 days ","IM ","ChiCTR2000037518 ","","","",
"University Hospital Tuebingen ","Protein Subunit ","SARS-CoV-2 HLA-DR peptides ","1 ","","SC ","NCT04546841 ","","","",
"Institute Pasteur/Themis/Univ. of Pittsburg CVR/Merck Sharp & Dohme ","Replicating Viral Vector ","Measles-vector based ","1 or 2 ","O, 28 days ","IM ","NCTO4497298 ","","","",
"Beijing Wantai Biological Pharmacy/ Xiamen University ","Replicating Viral Vector ","Intranasal flu-based-RBD ","1 ","","IM ","ChiCTR2000037782 ","","","",
"Imperial College London ","RNA ","LNP-nCoVsaRNA ","2 ","","IM ","ISRCTN17072692 ","","","",
"People's Liberation Army (PLA) Academy of Military Sciences/Walvax Biotech. ","RNA ","mRNA ","2 ","O, 14 or O, 28 days ","IM ","ChiCTR2000034112 ","","","",
"Medicago Inc. ","VLP ","Plant-derived VLP adjuvanted with GSK or Dynavax adjs. ","2 ","O, 21 days ","IM ","NCTO4450004 ","","","",
