"Protein Subunit ","Recombinant spike protein with Essai O/W 1849101 adjuvant ","Kazakh National Agrarian University, Kazakhstan / National Scientific Center for Especially Dangerous Infections ","SARS-CoV2 ","Pre-Clinica ","",
"Protein Subunit ","Recombinant S protein ","Max-Planck-Institute of Colloids and Interfaces ","SARS-CoV2 ","Pre-Clinica ","",
"Protein Subunit ","RBD protein (baculovirus production) FAR- Squalene adjuvant ","Farmacologicos Veterinarios SAC (FARVET SAC) / Universidad Peruana Cayetano Heredia (UPCH) ","SARS-CoV2 ","Pre-Clinical ","",
"Protein Subunit ","Protein Subunit ","Research Institute for Biological Safety Problems, Rep of Kazakhstan ","SARS-CoV2 ","Pre-Clinica ","",
"Protein Subunit ","RBD-protein ","Mynvax ","SARS-CoV2 ","Pre-Clinical ","",
"Protein Subunit ","Recombinant S protein ","Izmir Biomedicine and Genome Center ","SARS-CoV2 ","Pre-Clinica ","",
"Protein Subunit ","Peptide + novel adjuvant ","Bogazici University ","SARS-CoV2 ","Pre-Clinical ","",
"Protein Subunit ","S subunit intranasal liposomal formulation with GLA/3M052 adjs. ","University of Virginia ","SARS-CoV2 ","Pre-Clinical ","",
"Protein Subunit ","S-Protein (Subunit) + Adjuvant, E coli based Expression ","Helix Biogen Consult, Ogbomoso & Trinity Immonoefficient Laboratory, Ogbomoso, Oyo State, Nigeria. ","SARS-CoV2 ","Pre-Clinica ","",
"Protein Subunit ","Protein Subunit S,N,M&S1 protein ","National Research Centre, Egypt ","SARS-CoV2 ","Pre-Clinica ","",
"Protein Subunit ","Protein Subunit ","University of San Martin and CONICET, Argentina ","SARS-CoV2 ","Pre-Clinical ","",
"Protein Subunit ","RBD protein fused with Fc of IgG + Adj. ","Chulalongkorn University/GPO, Thailand ","SARS-CoV2 ","Pre-Clinica ","",
"Protein Subunit ","Capsid-like Particle ","AdaptVac (PREVENT-nCoV consortium) ","SARS-CoV2 ","Pre-Clinical ","",
"Protein Subunit ","Drosophila S2 insect cell expression system VLPS ","ExpreS2ion ","SARS-CoV2 ","Pre-Clinical ","",
"Protein Subunit ","Peptide antigens formulated in LNP ","IMV Inc ","SARS-CoV2 ","Pre-Clinical ","",
"Protein Subunit ","S protein ","WRAIR/USAMRIID ","SARS-CoV2 ","Pre-Clinica ","",
"Protein Subunit ","S protein +Adjuvant ","National Institute of Infectious Disease, Japan/Shionogi/UMN Pharma ","SARS-CoV2 ","Pre-Clinica ","Influenza ",
"Protein Subunit ","VLP-recombinant protein + Adjuvant ","Osaka University/ BIKEN/ National Institutes of Biomedical Innovation, Japan ","SARS-CoV2 ","Pre-Clinical ","",
"Protein Subunit ","microneedle arrays S1 subunit ","Univ. of Pittsburgh ","SARS-CoV2 ","Pre-Clinica ","MERS ",
"Protein Subunit ","Peptide ","Vaxil Bio ","SARS-CoV2 ","Pre-Clinical ","",
"Protein Subunit ","Adjuvanted protein subunit (RBD) ","Biological E Ltd ","SARS-CoV2 ","Pre-Clinica ","",
"Protein Subunit ","Peptide ","Flow Pharma Inc ","SARS-CoV2 ","Pre-Clinica ","Ebola, Marburg, HIV, Zika, Influenza, HPV/ therapeutic vaccine, BreastCA vaccine ",
"Protein Subunit ","S protein ","AJ Vaccines ","SARS-CoV2 ","Pre-Clinical ","",
