"RNA ","LNP-encapsulated mRNA cocktail encoding VLP ","Fudan University/ /Shangha liaoTong University/RNACure Biopharma ","SARS-CoV2 ","Pre-Clinical ","",
"RNA ","LNP-encapsulated mRNA encoding RBD ","Fudan University/ Shanghai JiaoTong University/RNACure Biopharma ","SARS-CoV2 ","Pre-Clinical ","",
"RNA ","Replicating Defective SARS-CoV-2 derived RNAs ","Centro Nacional Biotecnologia (CNB-CSIC), Spain ","SARS-CoV2 ","Pre-Clinical ","",
"RNA ","LNP-encapsulated mRNA ","University of Tokyo/ Daiichi-Sankyo ","SARS-CoV2 ","Pre-Clinical ","MERS ",
"RNA ","Liposome-encapsulated mRNA ","BIOCAD ","SARS-CoV2 ","Pre-Clinical ","",
"RNA ","Several mRNA candidates ","RNAimmune, Inc. ","SARS-CoV2 ","Pre-Clinical ","",
"RNA ","mRNA ","FBRI SRC VB VECTOR, Rospotrebnadzor, Koltsovo ","SARS-CoV2 ","Pre-Clinical ","",
"RNA ","mRNA ","China CDC/Tongji University/Stermin ","SARS-CoV2 ","Pre-Clinical ","",
"RNA ","LNP-mRNA ","Chula Vaccine Research Center/University of Pennsylvania ","SARS-CoV2 ","Pre-Clinical ","",
"RNA ","mRNA in an intranasal delivery system ","eTheRNA ","SARS-CoV2 ","Pre-Clinical ","",
"RNA ","mRNA ","Greenlight Biosciences ","SARS-CoV2 ","Pre-Clinical ","",
"RNA ","mRNA ","IDIBAPS-Hospital Clinic, Spain ","SARS-CoV2 ","Pre-Clinica ","",
"T-cel based ","CD8 T cell peptide targeting (S, M, N) and (NSPs) SARS-CoV-2 proteins ","OSE immunotherapeutics ","SARS-CoV2 ","Pre-Clinical ","",
"VLP ","Virus-like particle-based Dendritic Cell(DC)- targeting vaccine ","University of Manitoba ","SARS-CoV2 ","Pre-Clinica ","",
"VLP ","VLP ","Bezmialem Vakif University ","SARS-CoV2 ","Pre-Clinica ","",
"VLP ","VLP ","Middle East Technical University ","SARS-CoV2 ","Pre-Clinica ","",
"VLP ","Enveloped Virus-Like Particle (eV/LP) ","VBI Vaccines Inc. ","SARS-CoV-2, SARS-CoV, & MERS-CoV ","Pre-Clinica ","CMV, GBM, Zika ",
"VLP ","S protein integrated in HIV VLPS ","IrsiCaixa AIDS Research/IRTA-CReSA/Barcelona Supercomputing Centre/Grifols ","SARS-CoV2 ","Pre-Clinica ","",
"VLP ","VLP + Adjuvant ","Mahidol University/ The Government Pharmaceutical Organization (GPO)/Siriraj Hospital ","SARS-CoV2 ","Pre-Clinical ","",
"VLP ","Virus-like particles, lentivirus and baculovirus vehicles ","Navarrabiomed, Oncoimmunology group ","SARS-CoV2 ","Pre-Clinica ","",
"VLP ","Virus-like particle, based on RBD displayed on virus-like particles ","Saiba GmbH ","SARS-CoV2 ","Pre-Clinical ","",
