"Protein Subunit ","S subunit intranasal liposomal formulation with GLA/3M052 adjs. ","University of Virginia ","SARS-CoV2 ","Pre-Clinica ","",
"Protein Subunit ","S-Protein (Subunit) Adjuvant, E coli based Expression ","Helix Biogen Consult, Ogbomoso & Trinity Immonoefficient Laboratory, Ogbomoso, Oyo State, Nigeria. ","SARS-CoV2 ","Pre-Clinical ","",
"Protein Subunit ","Protein Subunit S,N,M&S1 protein ","National Research Centre, Egypt ","SARS-CoV2 ","Pre-Clinica ","",
"Protein Subunit ","Protein Subunit ","University of San Martin and CONICET, Argentina ","SARS-CoV2 ","Pre-Clinica ","",
"Protein Subunit ","RBD protein fused with Fc of IgG + Adj. ","Chulalongkorn University/GPO, Thailand ","SARS-CoV2 ","Pre-Clinical ","",
"Protein Subunit ","Capsid-like Particle ","AdaptVac (PREVENT-nCoV consortium) ","SARS-CoV2 ","Pre-Clinica ","",
"Protein Subunit ","Drosophila S2 insect cell expression system VLPs ","ExpreS2ion ","SARS-CoV2 ","Pre-Clinical ","",
"Protein Subunit ","Peptide antigens formulated in LNP ","IMV Inc ","SARS-CoV2 ","Pre-Clinical ","",
"Protein Subunit ","s protein ","WRAIR/USAMRIID ","SARS-CoV2 ","Pre-Clinica ","",
"Protein Subunit ","S protein +Adjuvant ","National Institute of Infectious Disease, Japan/Shionogi/UMN Pharma ","SARS-CoV2 ","Pre-Clinical ","Influenza ",
"Protein Subunit ","VLP-recombinant protein + Adjuvant ","Osaka University/ BIKEN/ National Institutes of Biomedical Innovation, Japan ","SARS-CoV2 ","Pre-Clinical ","",
"Protein Subunit ","microneedle arrays S1 subunit ","Univ. of Pittsburgh ","SARS-CoV2 ","Pre-Clinical ","MERS ",
"Protein Subunit ","Peptide ","Vaxi Bio ","SARS-CoV2 ","Pre-Clinical ","",
"Protein Subunit ","Adjuvanted protein subunit (RBD) ","Biological E Ltd ","SARS-CoV2 ","Pre-Clinical ","",
"Protein Subunit ","Peptide ","Flow Pharma Inc ","SARS-CoV2 ","Pre-Clinica ","Ebola, Marburg, HIV, Zika, Influenza, HPV therapeutic vaccine, BreastCA vaccine ",
"Protein Subunit ","S protein ","AJ Vaccines ","SARS-CoV2 ","Pre-Clinica ","",
"Protein Subunit ","li-Key peptide ","Generex/EpiVax ","SARS-CoV2 ","Pre-Clinica ","Influenza, HIV, SARS-CoV ",
"Protein Subunit ","S protein ","EpiVax/Univ. of Georgia ","SARS-CoV2 ","Pre-Clinical ","H7N9 ",
"Protein Subunit ","Protein Subunit EPV-CoV-19 ","EpiVax ","SARS-CoV2 ","Pre-Clinical ","",
"Protein Subunit ","S protein (baculovirus production) ","Sanofi Pasteur/GSK ","SARS-CoV2 ","Pre-Clinical ","Influenza, SARS-CoV ",
"Protein Subunit ","gp-96 backbone ","Heat Biologics/Univ. Of Miami ","SARS-CoV2 ","Pre-Clinical ","NSCLC, HIV, malaria, Zika ",
"Protein Subunit ","Subunit vaccine ","FBRI SRC VB VECTOR, Rospotrebnadzor, Koltsovo ","SARS-CoV2 ","Pre-Clinical ","",
"Protein Subunit ","S1 or RBD protein ","Baylor College of Medicine ","SARS-CoV2 ","Pre-Clinical ","SARS ",
"Protein Subunit ","Subunit protein, plant produced ","iBio/cc-Pharming ","SARS-CoV2 ","Pre-Clinical ","",
"Protein Subunit ","Recombinant protein, nanoparticles (based on s-protein and other epitopes) ","Saint-Petersburg scientific research institute of vaccines and serums ","SARS-CoV2 ","Pre-Clinical ","",
"Protein Subunit ","COVID-19 XWG-03 truncated S (spike) proteins ","Innovax/Xiamen Univ./GSK ","SARS-CoV2 ","Pre-Clinica ","HPV ",
