"Protein Subunit ","Recombinant protein, nanoparticles (based on S-protein and other epitopes) ","Saint-Petersburg scientific research institute of vaccines and serums ","SARS-CoV2 ","Pre-Clinica ","",
"Protein Subunit ","COVID-19 XWG-03 truncated S (spike) proteins ","Innovax/Xiamen Univ./GSK ","SARS-CoV2 ","Pre-Clinical ","HPV ",
"Protein Subunit ","Adjuvanted microsphere peptide ","VIDO-InterVac, University of Saskatchewan ","SARS-CoV2 ","Pre-Clinical ","",
"Protein Subunit ","Synthetic Long Peptide Vaccine candidate for s and M proteins ","OncoGen ","SARS-CoV2 ","Pre-Clinical ","",
"Protein Subunit ","Oral E. coli-based protein expression system of S and N proteins ","MIGAL Galilee Research Institute ","SARS-CoV2 ","Pre-Clinica ","",
"Protein Subunit ","Nanoparticle vaccine ","LakePharma, Inc. ","SARS-CoV2 ","Pre-Clinical ","",
"Protein Subunit ","Plant-based subunit (RBD-Fc + Adjuvant) ","Baiya Phytopharm/ Chula Vaccine Research Center ","SARS-CoV2 ","Pre-Clinical ","",
"Protein Subunit ","OMV-based vaccine ","Quadram Institute Biosciences ","SARS-CoV2 ","Pre-Clinical ","Flu A, plague ",
"Protein Subunit ","OMV-based vaccine ","BiOMVis Sri/Univ. of Trento ","SARS-CoV2 ","Pre-Clinical ","",
"Protein subunit ","structurally modified spherical particles of the tobacco mosaic virus (TMV) ","Lomonosov Moscow State University ","SARS-CoV2 ","Pre-Clinical ","rubella, rotavirus ",
"Protein Subunit ","Spike-based ","University of Alberta ","SARS-CoV2 ","Pre-Clinical ","Hepatitis C ",
"Protein Subunit ","Recombinant S1-Fc fusion protein ","AnyGo Technology ","SARS-CoV2 ","Pre-Clinica ","",
"Protein Subunit ","Recombinant protein ","Yisheng Biopharma ","SARS-CoV2 ","Pre-Clinical ","",
"Protein Subunit ","Recombinant s protein in IC-BEVS ","Vabiotech ","SARS-CoV2 ","Pre-Clinical ","",
"Protein Subunit ","Orally delivered, heat stable subunit ","Applied Biotechnology Institute, Inc. ","SARS-CoV2 ","Pre-Clinical ","",
"Protein Subunit ","Peptides derived from Spike protein ","Axon Neuroscience SE ","SARS-CoV2 ","Pre-Clinical ","",
"Protein Subunit ","Protein Subunit ","MOGAM Institute for Biomedical Research, GC Pharma ","SARS-CoV2 ","Pre-Clinical ","",
"Protein Subunit ","RBD-based ","Neovii/Tel Aviv University ","SARS-CoV2 ","Pre-Clinical ","",
"Protein Subunit ","Outer Membrane Vesicle (OMV)-subunit ","Intravacc/Epivax ","SARS-CoV2 ","Pre-Clinical ","",
"Protein Subunit ","Outer Membrane Vesicle(OMV)-peptide ","Intravacc/Epivax ","SARS-CoV2 ","Pre-Clinical ","",
"Protein Subunit ","Spike-based (epitope screening) ","mmunoPrecise/LiteVax BV ","SARS-CoV2 ","Pre-Clinical ","",
"Replicating Bacteria Vector ","Oral Salmonella enteritidis (3934Vac) based protein expression system of RBD ","Farmacologicos Veterinarios SAC (FARVET SAC) / Universidad Peruana Cayetano Heredia (UPCH) ","SARS-CoV2 ","Pre-Clinical ","",
"Replicating Viral Vector ","YF17D Vector ","KU Leuven ","SARS-CoV2 ","Pre-Clinical ","",
"Replicating Vira Vector ","Measles Vector ","Cadila Healthcare Limited ","SARS-CoV2 ","Pre-Clinica ","",
"Replicating Viral Vector ","Measles Vector ","FBRI SRC VB VECTOR, Rospotrebnadzor, Koltsovo ","SARS-CoV2 ","Pre-Clinical ","",
"Replicating Vira Vector ","Measles Virus (S, N targets) ","DZIF German Center for Infection Research/CanVirex AG ","SARS-CoV2 ","Pre-clinical ","Zika, H7N9, CHIKV ",
"Replicating Vira Vector ","Horsepox vector expressing S protein ","Tonix Pharma/Southern Research ","SARS-CoV2 ","Pre-Clinical ","Smallpox, monkeypox ",
