"Replicating Viral Vector ","Recombinant vaccine based on Influenza A virus, for the prevention of COVID-19 (intranasal) ","FBRI SRC VB VECTOR, Rospotrebnadzor, Koltsovo ","SARS-CoV2 ","Pre-Clinical ","Influenza ",
"Replicating Vira Vector ","Attenuated Influenza expressing an antigenic portion of the Spike protein ","Fundacao Oswaldo Cruz and Instituto Buntantan ","SARS-CoV2 ","Pre-Clinical ","Influenza ",
"Replicating Viral Vector ","Influenza vector expressing RBD ","University of Hong Kong ","SARS-CoV2 ","Pre-Clinica ","",
"Replicating Viral Vector ","Replication-competent VSV chimeric virus technology (VSVAG) delivering the SARS-CoV- 2 Spike (S) glycoprotein. ","IAVI/Merck ","SARS-CoV2 ","Pre-Clinica ","Ebola, Marburg, Lassa ",
"Replicating Viral Vector ","Replicating VSV vector-based DC-targeting ","University of Manitoba ","SARS-CoV2 ","Pre-Clinical ","",
"Replicating Viral Vector ","VSV-S ","University of Western Ontario ","SARS-CoV2 ","Pre-Clinical ","HIV, MERS ",
"Replicating Viral Vector ","VSV-S ","Aurobindo ","SARS-CoV2 ","Pre-Clinical ","",
"Replicating Viral Vector ","VSV vector ","FBRI SRC VB VECTOR, Rospotrebnadzor, Koltsovo ","SARS-CoV2 ","Pre-Clinical ","",
"Replicating Viral Vector ","VSV-S ","Israel Institute for Biological Research/Weizmann Institute of Science ","SARS-CoV2 ","Pre-Clinical ","",
"Replicating Vira Vector ","M2-deficient single replication (M2SR) influenza vector ","UW-Madison/FluGen/Bharat Biotech ","SARS-CoV2 ","Pre-Clinical ","influenza ",
"Replicating Viral Vector ","Newcastle disease virus vector (NDV-SARS- CoV-2/Spike) ","acc/ Wageninger Bioveterinary Research/Utrecht Univ. ","SARS-CoV2 ","Pre-Clinical ","",
"Replicating Viral Vector ","Avian paramyxovirus vector (APMV) ","The Lancaster University, UK ","SARS-CoV2 ","Pre-Clinical ","",
"RNA ","LNP-encapsulated mRNA encoding S ","Max-Planck-institute of Colloids and Interfaces ","SARS-CoV2 ","Pre-Clinical ","",
"RNA ","Self-amplifying RNA ","Gennova ","SARS-CoV2 ","Pre-Clinical ","",
"RNA ","mRNA ","Selcuk University ","SARS-CoV2 ","Pre-Clinica ","",
"RNA ","LNP-mRNA ","Translate Bio/Sanofi Pasteur ","SARS-CoV2 ","Pre-Clinical ","",
"RNA ","LNP-mRNA ","CanSino Biologics/Precision NanoSystems ","SARS-CoV2 ","Pre-Clinical ","",
"RNA ","LNP-encapsulated mRNA cocktail encoding VLP ","Fudan University/ Shanghai JiaoTong University/RNACure Biopharma ","SARS-CoV2 ","Pre-Clinical ","",
"RNA ","LNP-encapsulated mRNA encoding RBD ","Fudan University/ Shanghai iaoTong University/RNACur Biopharma ","SARS-CoV2 ","Pre-Clinica ","",
"RNA ","Replicating Defective SARS-CoV-2 derived RNAs ","Centro Nacional Biotecnologia (CNB-CSIC), Spain ","SARS-CoV2 ","Pre-Clinical ","",
"RNA ","LNP-encapsulated mRNA ","University of Tokyo/Daiichi-Sankyo ","SARS-CoV2 ","Pre-Clinical ","MERS ",
"RNA ","Liposome-encapsulated mRNA ","BIOCAD ","SARS-CoV2 ","Pre-Clinica ","",
"RNA ","Several mRNA candidates ","RNAimmune, Inc. ","SARS-CoV2 ","Pre-Clinical ","",
"RNA ","mRNA ","FBRI SRC VB VECTOR, Rospotrebnadzor, Koltsovo ","SARS-CoV2 ","Pre-Clinica ","",
